"tag_id","ts_origin","ts","value_ts"
PowerBi.COU1-RCT-CU,2025-06-01 03:49:34.000,2025-06-01 05:49:34.000,"79.59473"
PowerBi.COU1RD001CU,2025-06-01 03:49:34.000,2025-06-01 05:49:34.000,"925.8499"
PowerBi.COU1-RCT-CU,2025-06-01 03:50:34.000,2025-06-01 05:50:34.000,"79.58067"
PowerBi.COU1CF001CU,2025-06-01 03:50:34.000,2025-06-01 05:50:34.000,"18.79276"
PowerBi.COU1-RCT-CU,2025-06-01 03:58:34.000,2025-06-01 05:58:34.000,"78.69421"
PowerBi.COU1CD2001CU,2025-06-01 03:58:35.000,2025-06-01 05:58:35.000,"0.4267869"
PowerBi.COU1-RCT-CU,2025-06-01 04:01:34.000,2025-06-01 06:01:34.000,"77.29917"
PowerBi.COU1RD001CU,2025-06-01 04:01:35.000,2025-06-01 06:01:35.000,"986.1536"
PowerBi.COU1-RCT-CU,2025-06-01 04:02:35.000,2025-06-01 06:02:35.000,"77.28383"
PowerBi.COU1CF001CU,2025-06-01 04:02:35.000,2025-06-01 06:02:35.000,"19.52757"
PowerBi.COU1CD2001CU,2025-06-01 04:10:34.000,2025-06-01 06:10:34.000,"0.4335138"
PowerBi.COU1-RCT-CU,2025-06-01 04:10:35.000,2025-06-01 06:10:35.000,"77.6442"
PowerBi.COU1RD001CU,2025-06-01 04:13:34.000,2025-06-01 06:13:34.000,"1024.326"
PowerBi.COU1-RCT-CU,2025-06-01 04:13:35.000,2025-06-01 06:13:35.000,"76.77425"
PowerBi.COU1CF001CU,2025-06-01 04:14:34.000,2025-06-01 06:14:34.000,"19.68645"
PowerBi.COU1-RCT-CU,2025-06-01 04:15:34.000,2025-06-01 06:15:34.000,"76.77099"
PowerBi.COU1CD2001CU,2025-06-01 04:23:34.000,2025-06-01 06:23:34.000,"0.4308791"
PowerBi.COU1-RCT-CU,2025-06-01 04:23:35.000,2025-06-01 06:23:35.000,"76.62576"
PowerBi.COU1RD001CU,2025-06-01 04:25:35.000,2025-06-01 06:25:35.000,"1113.209"
PowerBi.COU1-RCT-CU,2025-06-01 04:26:34.000,2025-06-01 06:26:34.000,"74.58599"
PowerBi.COU1-RCT-CU,2025-06-01 04:27:34.000,2025-06-01 06:27:34.000,"74.58641"
PowerBi.COU1CF001CU,2025-06-01 04:27:34.000,2025-06-01 06:27:34.000,"19.66677"
PowerBi.COU1-RCT-CU,2025-06-01 04:35:34.000,2025-06-01 06:35:34.000,"72.83405"
PowerBi.COU1CD2001CU,2025-06-01 04:35:35.000,2025-06-01 06:35:35.000,"0.4036555"
PowerBi.COU1-RCT-CU,2025-06-01 04:38:35.000,2025-06-01 06:38:35.000,"72.75318"
PowerBi.COU1RD001CU,2025-06-01 04:38:35.000,2025-06-01 06:38:35.000,"1116.505"
PowerBi.COU1-RCT-CU,2025-06-01 04:39:35.000,2025-06-01 06:39:35.000,"72.7627"
PowerBi.COU1CF001CU,2025-06-01 04:39:35.000,2025-06-01 06:39:35.000,"19.22636"
PowerBi.COU1-RCT-CU,2025-06-01 04:47:35.000,2025-06-01 06:47:35.000,"74.93439"
PowerBi.COU1CD2001CU,2025-06-01 04:47:35.000,2025-06-01 06:47:35.000,"0.437832"
PowerBi.COU1-RCT-CU,2025-06-01 04:50:35.000,2025-06-01 06:50:35.000,"75.21493"
PowerBi.COU1RD001CU,2025-06-01 04:50:35.000,2025-06-01 06:50:35.000,"1104.081"
PowerBi.COU1-RCT-CU,2025-06-01 04:52:35.000,2025-06-01 06:52:35.000,"75.21319"
PowerBi.COU1CF001CU,2025-06-01 04:52:35.000,2025-06-01 06:52:35.000,"19.30394"
PowerBi.COU1-RCT-CU,2025-06-01 05:00:34.000,2025-06-01 07:00:34.000,"74.29156"
PowerBi.COU1CD2001CU,2025-06-01 05:00:35.000,2025-06-01 07:00:35.000,"0.4224795"
PowerBi.COU1-RCT-CU,2025-06-01 05:03:35.000,2025-06-01 07:03:35.000,"71.97283"
PowerBi.COU1RD001CU,2025-06-01 05:03:35.000,2025-06-01 07:03:35.000,"1203.04"
PowerBi.COU1-RCT-CU,2025-06-01 05:04:35.000,2025-06-01 07:04:35.000,"71.989"
PowerBi.COU1CF001CU,2025-06-01 05:04:35.000,2025-06-01 07:04:35.000,"18.63661"
PowerBi.COU1CD2001CU,2025-06-01 05:11:34.000,2025-06-01 07:11:34.000,"0.4304956"
PowerBi.COU1-RCT-CU,2025-06-01 05:11:35.000,2025-06-01 07:11:35.000,"72.52268"
PowerBi.COU1-RCT-CU,2025-06-01 05:14:34.000,2025-06-01 07:14:34.000,"72.64371"
PowerBi.COU1RD001CU,2025-06-01 05:14:35.000,2025-06-01 07:14:35.000,"1197.775"
PowerBi.COU1CF001CU,2025-06-01 05:15:34.000,2025-06-01 07:15:34.000,"18.80098"
PowerBi.COU1-RCT-CU,2025-06-01 05:16:35.000,2025-06-01 07:16:35.000,"72.63961"
PowerBi.COU1CD2001CU,2025-06-01 05:23:34.000,2025-06-01 07:23:34.000,"0.4199095"
PowerBi.COU1-RCT-CU,2025-06-01 05:23:35.000,2025-06-01 07:23:35.000,"71.93368"
PowerBi.COU1RD001CU,2025-06-01 05:25:34.000,2025-06-01 07:25:34.000,"1198.622"
PowerBi.COU1-RCT-CU,2025-06-01 05:25:35.000,2025-06-01 07:25:35.000,"71.9137"
PowerBi.COU1-RCT-CU,2025-06-01 05:27:34.000,2025-06-01 07:27:34.000,"71.92733"
PowerBi.COU1CF001CU,2025-06-01 05:27:34.000,2025-06-01 07:27:34.000,"18.26179"
PowerBi.COU1-RCT-CU,2025-06-01 05:36:34.000,2025-06-01 07:36:34.000,"72.1757"
PowerBi.COU1CD2001CU,2025-06-01 05:36:35.000,2025-06-01 07:36:35.000,"0.4235709"
PowerBi.COU1RD001CU,2025-06-01 05:38:35.000,2025-06-01 07:38:35.000,"1193.741"
PowerBi.COU1-RCT-CU,2025-06-01 05:39:34.000,2025-06-01 07:39:34.000,"72.28975"
PowerBi.COU1-RCT-CU,2025-06-01 05:40:34.000,2025-06-01 07:40:34.000,"72.29617"
PowerBi.COU1CF001CU,2025-06-01 05:40:34.000,2025-06-01 07:40:34.000,"18.01872"
PowerBi.COU1-RCT-CU,2025-06-01 05:51:34.000,2025-06-01 07:51:34.000,"71.56467"
PowerBi.COU1CD2001CU,2025-06-01 05:51:35.000,2025-06-01 07:51:35.000,"0.4129242"
PowerBi.COU1-RCT-CU,2025-06-01 05:53:35.000,2025-06-01 07:53:35.000,"72.3382"
PowerBi.COU1RD001CU,2025-06-01 05:53:35.000,2025-06-01 07:53:35.000,"1161.477"
PowerBi.COU1-RCT-CU,2025-06-01 05:55:35.000,2025-06-01 07:55:35.000,"72.33096"
PowerBi.COU1CF001CU,2025-06-01 05:55:35.000,2025-06-01 07:55:35.000,"18.30054"
PowerBi.COU1CD2001CU,2025-06-01 06:04:35.000,2025-06-01 08:04:35.000,"0.4131471"
PowerBi.COU1-RCT-CU,2025-06-01 06:05:34.000,2025-06-01 08:05:34.000,"72.34624"
PowerBi.COU1-RCT-CU,2025-06-01 06:07:35.000,2025-06-01 08:07:35.000,"71.63979"
PowerBi.COU1RD001CU,2025-06-01 06:07:35.000,2025-06-01 08:07:35.000,"1190.955"
PowerBi.COU1-RCT-CU,2025-06-01 06:09:35.000,2025-06-01 08:09:35.000,"71.63174"
PowerBi.COU1CF001CU,2025-06-01 06:09:35.000,2025-06-01 08:09:35.000,"18.61996"
PowerBi.COU1-RCT-CU,2025-06-01 06:17:34.000,2025-06-01 08:17:34.000,"74.29182"
PowerBi.COU1CD2001CU,2025-06-01 06:17:35.000,2025-06-01 08:17:35.000,"0.4548521"
PowerBi.COU1-RCT-CU,2025-06-01 06:20:35.000,2025-06-01 08:20:35.000,"74.22206"
PowerBi.COU1RD001CU,2025-06-01 06:20:35.000,2025-06-01 08:20:35.000,"1194.167"
PowerBi.COU1-RCT-CU,2025-06-01 06:21:35.000,2025-06-01 08:21:35.000,"74.23451"
PowerBi.COU1CF001CU,2025-06-01 06:21:35.000,2025-06-01 08:21:35.000,"18.1483"
PowerBi.COU1CD2001CU,2025-06-01 06:29:34.000,2025-06-01 08:29:34.000,"0.4372722"
PowerBi.COU1-RCT-CU,2025-06-01 06:29:35.000,2025-06-01 08:29:35.000,"73.17201"
PowerBi.COU1-RCT-CU,2025-06-01 06:32:34.000,2025-06-01 08:32:34.000,"74.25453"
PowerBi.COU1RD001CU,2025-06-01 06:32:34.000,2025-06-01 08:32:34.000,"1146.286"
